127.0.0.1 - - [08/Dec/2016:00:32:09 +0530] "GET /hsmp/templatemo_style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:09 +0530] "GET /hsmp/scripts/swfobject/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:09 +0530] "GET /hsmp/css/ddsmoothmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:09 +0530] "GET /hsmp/scripts/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:09 +0530] "GET /hsmp/scripts/ddsmoothmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:10 +0530] "GET /hsmp/images/templatemo_bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:10 +0530] "GET /hsmp/profile/sushil.jpeg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:10 +0530] "GET /hsmp/images/templatemo_header.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:10 +0530] "GET /hsmp/images/templatemo_logo.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:10 +0530] "GET /hsmp/images/templatemo_footer.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:11 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2240
127.0.0.1 - - [08/Dec/2016:00:32:11 +0530] "GET /hsmp/templatemo_style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:32:11 +0530] "GET /hsmp/scripts/jquery.min.js HTTP/1.1" 304 -
